"status","sha256","size_bytes","logical_key","source_path","repo_path"
"already_in_repo","8570309ccc661c0b0bd23cb32068519a5ac4d6e4bd3c9ba17e4a5981c9af8363","6805699","830350067-compilation-of-murray-stahl-s-writings.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\830350067-Compilation-of-Murray-Stahl-s-Writings.pdf","_system/reference/investment-wisdom/stahl/Compilation-of-Murray-Stahls-Writings.pdf"
"already_in_repo","fc0e28f76fd51bf311beff613b1a15243384d2cd6c44dec8967138eedecf02cb","188596","theachievementofdiversificationnovember2020.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20201216134009_cb410767_TheAchievementofDiversificationNovember2020.pdf","_system/reference/investment-wisdom/stahl/Stahl-Achievement-of-Diversification-2020.pdf"
"already_in_repo","83abb47912ee3b1cb0c4aa0e1b1148e63aba523269d97b9770b9080d45b8b9d0","36226","12-16-08_20review_20_20update_20of_20the_20croupier_20business_20model.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20160703122128_6e323ac8_12-16-08_20Review_20_20Update_20of_20The_20Croupier_20Business_20Model.pdf","_system/reference/investment-wisdom/stahl/Stahl-Croupier-Business-Model-2008.pdf"
"already_in_repo","747e0aa0f428fa851fae611ec81b385240759331d36e62075a68fb4fd9afa4d5","52551","8-21-09_20croupiers_20less_20talk_20more_20figures.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20160703154353_b8f56eae_8-21-09_20Croupiers_20Less_20Talk_20More_20Figures.pdf","_system/reference/investment-wisdom/stahl/Stahl-Exchanges-Less-Talk-More-Figures-2009.pdf"
"already_in_repo","c70b5829dd4b9591dc867bf80828c9ff3e5f3ccdfc8a881869be7d98ac9aa457","194268","horizon_investmentphilosophy.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20160512150838_e803a358_Horizon_InvestmentPhilosophy.pdf","_system/reference/investment-wisdom/stahl/Stahl-Investment-Philosophy.pdf"
"already_in_repo","bb4004644685999833099ea7b5e6e9fc942ba19c9f33b0c99324104273d5c488","271981","stahl_spinoffs_going_20separate_20ways_value_20investor_20insight_nov2015.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20160512141032_56cd5cc4_Stahl_Spinoffs_Going_20Separate_20Ways_Value_20Investor_20Insight_Nov2015.pdf","_system/reference/investment-wisdom/stahl/Stahl-Spinoffs-Going-Separate-Ways-2015.pdf"
"already_in_repo","c13497099103ef21946dd1b40f9ded5879ce7503d5815e10714ce64c66a3e70d","3308027","horizon-kinetics-q1-2026-commentary-final.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\Horizon-Kinetics-Q1-2026-Commentary-Final.pdf","_system/reference/superinvestor-letters/2026Q1/Horizon-Kinetics-Q1-2026-Commentary-Final.pdf"
"copied","e7a899311e86b1b8f0a8a4621009c6d8e4780b8a74fd6d4f40e49e5213d2707e","106764","horizonkinetics_commentary_june2011.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20120417091135_a2c79b40_HorizonKinetics_Commentary_June2011.pdf","_system/reference/investment-wisdom/horizon-kinetics/pdfs/20120417091135_a2c79b40_HorizonKinetics_Commentary_June2011.pdf"
"copied","513f8119bbaa536f91fe7716313f5524147c2bac0a25d387d1d4d4129e50acc4","203555","horizonkinetics_commentary_sept2011.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20120417091139_2a384828_HorizonKinetics_Commentary_Sept2011.pdf","_system/reference/investment-wisdom/horizon-kinetics/pdfs/20120417091139_2a384828_HorizonKinetics_Commentary_Sept2011.pdf"
"copied","11f05c4d0863d34388f75a767b1980870e41a76752edd31d5fa8c1b351187538","219395","horizon_commentary_december_2010.pdf","C:\Users\werdn\Documents\Investing\Horizon Kinetics\hk_pdfs\20120417091210_5ffabb18_Horizon_Commentary_December_2010.pdf","_system/reference/investment-wisdom/horizon-kinetics/pdfs/20120417091210_5ffabb18_Horizon_Commentary_December_2010.pdf"
