yard_id,yard_num,country,region,state_province,name,city,address,postal,phone,fax,ownership,legal_owner,parcel_id,acres,zoning,registry_status,source_url,source_file,notes
1,1,US,US,CA,COPART VALLEJO,VALLEJO,282 FIFTH STREET,94590,(707) 644-4468,(707) 644-1729,unknown,,,,,address_confirmed,https://www.copart.com/locations/vallejo-ca-1,investor-documents/copart_locations_us_by_state.snapshot.md,
2,2,US,US,CA,COPART SACRAMENTO,SACRAMENTO,8600 MORRISON CREEK DRIVE,95828,(916) 381-3999,(916) 381-4159,unknown,,,,,address_confirmed,https://www.copart.com/locations/sacramento-ca-2,investor-documents/copart_locations_us_by_state.snapshot.md,
3,3,US,US,CA,COPART HAYWARD,HAYWARD,1964 SABRE STREET,94545,(510) 783-6511,(510) 783-3883,unknown,,,,,address_confirmed,https://www.copart.com/locations/hayward-ca-3,investor-documents/copart_locations_us_by_state.snapshot.md,
4,4,US,US,CA,COPART FRESNO,FRESNO,1255 EAST CENTRAL,93725,(559) 266-6400,(559) 266-5202,unknown,,,,,address_confirmed,https://www.copart.com/locations/fresno-ca-4,investor-documents/copart_locations_us_by_state.snapshot.md,
5,5,US,US,CA,COPART BAKERSFIELD,BAKERSFIELD,2216 COY AVENUE,93307,(661) 834-2556,(661) 834-1563,unknown,,,,,address_confirmed,https://www.copart.com/locations/bakersfield-ca-5,investor-documents/copart_locations_us_by_state.snapshot.md,
6,6,US,US,CA,COPART SAN JOSE,SAN MARTIN,13895 LLAGAS AVENUE,95046,(408) 683-9393,(408) 683-9411,unknown,,,,,address_confirmed,https://www.copart.com/locations/san-martin-ca-6,investor-documents/copart_locations_us_by_state.snapshot.md,
7,7,US,US,CA,COPART SAN BERNARDINO,COLTON,1203 S. RANCHO AVENUE,92324,(909) 825-7600,(909) 825-6528,unknown,,,,,address_confirmed,https://www.copart.com/locations/colton-ca-7,investor-documents/copart_locations_us_by_state.snapshot.md,
9,9,US,US,OR,COPART PORTLAND NORTH,PORTLAND,6900 NE CORNFOOT DRIVE,97218,(503) 281-0848,(503)281-2019,unknown,,,,,address_confirmed,https://www.copart.com/locations/portland-or-9,investor-documents/copart_locations_us_by_state.snapshot.md,
10,10,US,US,CA,COPART LOS ANGELES,LOS ANGELES,8423 SOUTH ALAMEDA,90001,(323) 583-1713,(323) 583-8642,unknown,,,,,address_confirmed,https://www.copart.com/locations/los-angeles-ca-10,investor-documents/copart_locations_us_by_state.snapshot.md,
11,11,US,US,TX,COPART HOUSTON,HOUSTON,1655 RANKIN ROAD,77073,(281)214-7800,(281) 443-0753,unknown,,,,,address_confirmed,https://www.copart.com/locations/houston-tx-11,investor-documents/copart_locations_us_by_state.snapshot.md,
12,12,US,US,TX,COPART DALLAS,GRAND PRAIRIE,505 IDLEWILD ROAD,75051,(972) 263-2711,(972) 263-9137,unknown,,,,,address_confirmed,https://www.copart.com/locations/grand-prairie-tx-12,investor-documents/copart_locations_us_by_state.snapshot.md,
13,13,US,US,TX,COPART LUFKIN,LUFKIN,3700 OLD UNION ROAD,75904,(936) 639-3558,(936) 634-9771,unknown,,,,,address_confirmed,https://www.copart.com/locations/lufkin-tx-13,investor-documents/copart_locations_us_by_state.snapshot.md,
14,14,US,US,TX,COPART LONGVIEW,LONGVIEW,3046 HIGHWAY 322 SOUTH,75603,(903) 643-9705,(903) 643-9958,unknown,,,,,address_confirmed,https://www.copart.com/locations/longview-tx-14,investor-documents/copart_locations_us_by_state.snapshot.md,
15,15,US,US,GA,COPART ATLANTA WEST,AUSTELL,2568 OLD ALABAMA ROAD,30168,(770) 941-9775,(770) 944-7289,unknown,,,,,address_confirmed,https://www.copart.com/locations/austell-ga-15,investor-documents/copart_locations_us_by_state.snapshot.md,
16,16,US,US,CA,COPART SOUTH SACRAMENTO,SACRAMENTO,8687 WEYAND AVE,95828,(916) 381-5050,(916) 381-0524,unknown,,,,,address_confirmed,https://www.copart.com/locations/sacramento-ca-16,investor-documents/copart_locations_us_by_state.snapshot.md,
17,17,US,US,KS,COPART KANSAS CITY,KANSAS CITY,6211 KANSAS AVE,66111,(913) 287-6200,(913) 287-4665,unknown,,,,,address_confirmed,https://www.copart.com/locations/kansas-city-ks-17,investor-documents/copart_locations_us_by_state.snapshot.md,
