period_end,aum_total_oku,aum_nonlisted_oku,aum_etf_oku,aum_equity_oku,aum_qis_oku,aum_other_oku,tag
2017-03-31,5086.0,3483.0,1602.0,,,,[Filing]
2018-03-31,5655.0,4108.0,1546.0,,,,[Filing]
2019-03-31,5343.0,4045.0,1297.0,,,,[Filing]
2019-09-30,6512.0,5021.0,1490.0,,,,[Filing]
2020-03-31,7317.0,5479.0,1839.0,,,,[Filing]
2020-09-30,8653.0,6335.0,2318.0,,,,[Filing]
2021-03-31,9963.0,7856.0,2107.0,,,,[Filing]
2021-09-30,11730.0,9682.0,2048.0,,,,[Filing]
2022-03-31,13511.0,11369.0,2142.0,,,,[Filing]
2022-09-30,17970.0,15985.0,1986.0,,,,[Filing]
2023-03-31,12759.0,10723.0,2037.0,,,,[Filing]
2023-09-30,12220.0,9811.0,2409.0,,,,[Filing]
2024-03-31,13080.0,10478.0,2601.0,4768.0,5543.0,167.0,[Filing]
2024-09-30,12495.0,10170.0,2325.0,,,,[Filing]
2025-03-31,12979.0,10493.0,2479.0,4657.0,5663.0,180.0,[Filing]
2025-09-30,13733.0,11011.0,2721.0,5329.0,5421.0,261.0,[Filing]
