period_end,half,base_fee_jpy_thousand,perf_fee_jpy_thousand,tag
2020-09-30,H1,,,[Filing/Derived]
2021-03-31,H2,,,[Filing/Derived]
2021-09-30,H1,,,[Filing/Derived]
2022-03-31,H2,5133.0,,[Filing/Derived]
2022-09-30,H1,2851.0,,[Filing/Derived]
2023-03-31,H2,5820.0,,[Filing/Derived]
2023-09-30,H1,2872.0,932.0,[Filing/Derived]
2024-03-31,H2,5942.0,8907.0,[Filing/Derived]
2024-09-30,H1,3266.0,1996.0,[Filing/Derived]
2025-03-31,H2,6721.0,9320.0,[Filing/Derived]
2025-09-30,H1,3711.0,1713.0,[Filing/Derived]
2026-03-31,H2,7869.0,14316.0,[Filing/Derived]
