period_end,half,tag,bucket_etf_ret,bucket_etf_excess,bucket_etf_aum_jpym,bucket_weighted_ret,bucket_weighted_excess,bucket_weighted_march_ret,perf_eligible_excess_ret,bucket_equity_ret,bucket_equity_excess,bucket_equity_aum_jpym,bucket_qis_ret,bucket_qis_excess,bucket_qis_aum_jpym,bucket_other_ret,bucket_other_excess,bucket_other_aum_jpym
2020-09-30,H1,[Proxy/Derived],0.0,0.0,231800.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021-03-31,H2,[Proxy/Derived],0.0,0.076759,210700.0,0.0,0.076759,0.076759,0.076759,,,,,,,,,
2021-09-30,H1,[Proxy/Derived],0.0,0.0,204800.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-31,H2,[Proxy/Derived],0.0,0.058579,214200.0,0.0,0.058579,0.0,0.058579,,,,,,,,,
2022-09-30,H1,[Proxy/Derived],0.0,0.036584,198600.0,0.0,0.036584,0.0,0.036584,,,,,,,,,
2023-03-31,H2,[Proxy/Derived],0.0,0.100507,203700.0,0.0,0.100507,0.100507,0.100507,,,,,,,,,
2023-09-30,H1,[Proxy/Derived],-0.009714,0.0,240900.0,-0.009714,0.0,-0.009714,0.0,,,,,,,,,
2024-03-31,H2,[Proxy/Derived],0.179464,0.188119,260100.0,0.243249,0.192697,0.213888,0.192697,0.267183,0.220806,476800.0,0.259921,0.170806,554300.0,0.0,0.188119,16700.0
2024-09-30,H1,[Proxy/Derived],-0.036936,0.0,232500.0,-0.036936,0.0,-0.036936,0.0,,,,,,,,,
2025-03-31,H2,[Proxy/Derived],0.064516,0.018242,247900.0,-0.045167,0.003737,-0.063838,0.003737,-0.078506,0.0,465700.0,-0.0672,0.0,566300.0,0.0,0.018242,18000.0
2025-09-30,H1,[Proxy/Derived],0.187019,0.0,272100.0,0.241483,0.0,0.241483,0.0,0.261285,0.0,532900.0,0.26098,0.0,542100.0,0.0,0.0,26100.0
2026-03-31,H2,[Proxy/Derived],0.147606,0.064855,264650.1,0.171251,0.014084,0.008128,0.014084,0.14619,0.0,518309.6,0.216,0.0,527257.7,0.0,0.064855,25385.4
